sampleId,country,city,collectionDate
UA_Cho_15_67,Ukraine,Chornobyl Applegarden,8/26/15
UA_Cho_15_68,Ukraine,Chornobyl Polisske,8/26/15
UA_Cho_15_69,Ukraine,Chornobyl Applegarden,8/26/15
UA_Cho_15_70,Ukraine,Chornobyl Applegarden,7/7/15
UA_Cho_16_54,Ukraine,Chornobyl Applegarden,9/4/16
UA_Cho_16_55,Ukraine,Chornobyl (Cooling pond),9/5/16
UA_Cho_16_62,Ukraine,Chornobyl Yaniv,9/4/16
UA_Dro_14_27,Ukraine,Drogobych,8/24/14
UA_Dro_15_10,Ukraine,Drogobych,9/18/15
UA_Dro_16_56,Ukraine,Drogobych,9/12/16
UA_Kan_16_57,Ukraine,Kaniv,7/8/16
UA_Kha_14_45,Ukraine,Kharkiv,7/26/14
UA_Kha_14_46,Ukraine,Kharkiv,9/14/14
UA_Kha_15_19,Ukraine,Kharkiv,8/20/15
UA_Kha_16_58,Ukraine,Kharkiv,8/18/16
UA_Kyi_14_23,Ukraine,Kyiv,8/9/14
UA_Kyi_14_24,Ukraine,Kyiv,9/8/14
UA_Kyi_14_49,Ukraine,Kyiv,10/11/14
UA_Kyi_15_64,Ukraine,Kyiv (Vyshneve),8/10/15
UA_Kyi_16_44,Ukraine,Kyiv (Vyshneve),8/4/16
UA_Kyi_16_45,Ukraine,Kyiv (Vyshneve),10/3/16
UA_Kyi_16_59,Ukraine,Kyiv (Vyshneve),8/6/16
UA_Ode_14_19,Ukraine,Odesa,7/3/14
UA_Ode_14_20,Ukraine,Odesa,7/22/14
UA_Ode_14_21,Ukraine,Odesa,8/29/14
UA_Ode_14_22,Ukraine,Odesa,10/10/14
UA_Ode_15_11,Ukraine,Odessa,9/26/15
UA_Ode_15_20,Ukraine,Odessa,6/30/15
UA_Ode_15_22,Ukraine,Odessa,8/27/15
UA_Ode_15_66,Ukraine,Odessa,7/26/15
UA_Ode_16_46,Ukraine,Odesa,8/20/16
UA_Ode_16_47,Ukraine,Odesa,9/15/16
UA_Pir_14_26,Ukraine,Piryuatin,8/20/14
UA_Pir_15_21,Ukraine,Piryuatin,8/26/15
UA_Pyr_16_48,Ukraine,Pyriatyn,9/3/16
UA_Pyr_16_49,Ukraine,Pyryatyn,9/23/16
UA_Uma_14_50,Ukraine,Uman,10/1/14
UA_Uma_15_9,Ukraine,Uman',9/26/15
UA_Uma_16_50,Ukraine,Uman,9/17/16
UA_Uma_16_51,Ukraine,Uman K,9/11/16
UA_Var_14_25,Ukraine,Varva,8/18/14
UA_Var_15_18,Ukraine,Varva,8/25/15
UA_Var_16_60,Ukraine,Varva,8/26/16
UA_Yal_14_16,Ukraine,Yalta,6/20/14
UA_Yal_14_18,Ukraine,Yalta,8/27/14
UA_Yal_15_23,Ukraine,Yalta,6/24/15
UA_Yal_15_63,Ukraine,Yalta,8/24/15
UA_Yal_16_61,Ukraine,Yalta,8/20/16
UK_Dai_15_52,United Kingdom,Dairsie. Fife,8/19/15
UK_Dai_16_23,United Kingdom,Dairsie. Fife,8/6/16
UK_Lut_14_13,United Kingdom,Lutterworth,10/20/14
UK_Mar_14_12,United Kingdom,Market Harborough,10/20/14
UK_Mar_15_42,United Kingdom,Market Harborough,7/7/15
UK_Mar_16_53,United Kingdom,Market Harborough,10/23/16
UK_She_14_09,United Kingdom,Sheffield,8/25/14
UK_She_15_17,United Kingdom,Sheffield,10/4/15
UK_Sou_14_10,United Kingdom,South Queensferry,7/14/14
ES_ba_12_spring,Spain,Barcelona,7/13/12
ES_ba_12_fall,Spain,Barcelona,10/15/12
FL_ho_10_spring,USA,Homestead,7/15/10
FL_ho_10_fall,USA,Homestead,12/15/10
GA_ha_08_spring,USA,Hahia,7/15/08
MA_la_12_spring,USA,Lancaster,7/28/12
MA_la_12_fall,USA,Lancaster,10/2/12
ME_bo_09_fall.r1,USA,Bowdoin,10/15/09
ME_bo_09_fall.r2,USA,Bowdoin,10/15/09
NC_ra_03_n,USA,Raleigh,2003
NY_it_12_spring,USA,Ithaca,7/25/12
NY_it_12_fall,USA,Ithaca,9/23/12
PA_li_12_spring,USA,Linvilla,7/16/12
PA_li_11_fall,USA,Linvilla,10/15/11
PA_li_12_fall,USA,Linvilla,10/10/12
PA_li_09_fall,USA,Linvilla,11/15/09
PA_li_10_fall,USA,Linvilla,11/15/10
PA_li_11_frost,USA,Linvilla,11/15/11
PA_li_09_spring,USA,Linvilla,7/15/09
PA_li_10_spring,USA,Linvilla,7/15/10
PA_li_11_spring,USA,Linvilla,7/15/11
PA_li_12_sum,USA,Linvilla,9/13/12
SC_eu_10_spring,USA,Eutawville,7/15/10
VA_ch_12_spring,USA,Charlottesville,7/18/12
VA_ch_12_fall,USA,Charlottesville,11/5/12
AT_gr_12_spring,Austria,Gross-Enzersdorf,8/3/12
AT_gr_12_fall,Austria,Gross-Enzersdorf,10/20/12
WI_cp_12_spring,USA,Cross Plains,6/10/12
WI_cp_12_fall,USA,Cross Plains,9/11/12
WI_cp_12_frost,USA,Cross Plains,10/20/12
CA_es_12_spring,USA,Esparto,6/13/12
WI_cp_13_spring,USA,Cross Plains,7/2/13
WI_cp_13_fall,USA,Cross Plains,9/22/13
PA_li_13_spring,USA,Linvilla,6/15/13
UA_od_13_fall,Ukraine,Odessa,10/15/13
UA_od_13_spring,Ukraine,Odessa,5/15/13
CA_es_12_fall,USA,Esparto,8/22/12
CA_pl_12_fall,USA,Placerville,8/25/12
GA_at_14_fall,USA,Athens,10/15/14
GA_at_14_spring,USA,Athens,6/15/14
MI_bh_14_fall,USA,Benton Harbor,11/5/14
MI_bh_14_spring,USA,Benton Harbor,7/26/14
VA_ch_14_fall,USA,Charlotttesville,10/14/14
VA_ch_14_spring,USA,Charlotttesville,6/25/14
WI_cp_14_spring,USA,Cross Plains,6/25/14
WI_cp_14_fall,USA,Cross Plains,9/18/14
MA_la_14_fall,USA,Lancaster,10/20/14
MA_la_14_spring,USA,Lancaster,7/20/14
PA_li_14_fall,USA,Linvilla,10/17/14
PA_li_14_spring,USA,Linvilla,6/27/14
PA_st_14_fall,USA,State College,10/16/14
PA_st_14_spring,USA,State College,6/18/14
KA_to_14_fall,USA,Topeka,10/22/14
KA_to_14_spring,USA,Topeka,6/22/14
WA_se_14_spring,USA,Tacoma,7/15/14
CA_st_12_fall,USA,Stockton,10/1/12
CA_tu_12_fall,USA,Tuolumne,10/10/12
CA_st_12_frost,USA,Stockton,11/15/12
CA_tu_12_frost,USA,Tuolumne,11/17/12
VA_ch_15_fall,USA,Charlotttesville,10/19/15
VA_ch_15_spring,USA,Charlotttesville,7/1/15
PA_li_15_fall,USA,Linvilla,10/15/15
PA_li_15_spring,USA,Linvilla,7/15/15
PA_st_15_spring,USA,State College,7/18/15
ON_su_15_spring,Canada,Sudbury,8/3/15
ON_su_15_fall,Canada,Sudbury,9/30/15
IL_ur_15_spring,USA,Urbana,7/11/15
CA_pl_12_frost,USA,Placerville,11/18/12
CA_es_12_frost,USA,Esparto,11/20/12
CA_es_13_spring,USA,Esparto,5/7/13
CA_tu_13_spring,USA,Tuolumne,5/14/13
CA_pl_13_fall,USA,Placerville,8/30/13
CA_tu_13_fall,USA,Tuolumne,8/31/13
CA_st_13_fall,USA,Stockton,9/3/13
CA_es_13_fall,USA,Esparto,9/1/13
CA_tu_13_frost,USA,Tuolumne,12/8/13
CA_pl_13_frost,USA,Placerville,12/16/13
B,China,Beijing,1992/9
CO,Cameroon,Oku,2004/4
EA,Ethiopia,Gambella,2011/12
EB,Ethiopia,Bonga,2011/12
ED,Ethiopia,Dodola,2008/12
EF,Ethiopia,Fiche,2011/12
EG,Egypt,Cairo,2011/1
